id,full_text,entities,regest,sender_name,sender_id,receiver_name,receiver_id,sender_date
kasten_blau_44_10_0321.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1711-06-08
kasten_blau_44_10_0324.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1711-07-16
kasten_blau_44_10_0325.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1711-07-23
kasten_blau_44_10_0326.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1711-06-01
kasten_blau_44_10_0327.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1711-08-01
kasten_blau_44_10_0329.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1711-07-18
kasten_blau_44_10_0338.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1711-07-29
kasten_blau_44_10_0341.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1711-08-17
kasten_blau_44_10_0343.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1711-08-08
kasten_blau_44_10_0350.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1711-09-05
kasten_blau_44_10_0352.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1711-08-26
kasten_blau_44_10_0357.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1711-09-13
